"transaction_id,customer_id,amount,currency,timestamp,merchant,status"
"1001,5001,250.00,EUR,2026-06-01T10:30:00Z,Amazon,completed"
"1002,5001,1250.00,EUR,2026-06-01T11:00:00Z,REWE,pending"
"1003,7882,5000.00,EUR,2026-06-01T12:00:00Z,Sparkasse,completed"
"1004,5001,25.50,EUR,2026-06-01T13:00:00Z,Netto,completed"
"1005,9003,15000.00,EUR,2026-06-01T14:00:00Z,Unknown,flagged"
"1006,7882,89.90,EUR,2026-06-01T15:00:00Z,DM,completed"
"1007,1010,1200.00,EUR,2026-06-02T09:00:00Z,Amazon,completed"
"1008,5001,45.30,EUR,2026-06-02T10:30:00Z,Lidl,completed"
"1009,7882,320.00,EUR,2026-06-02T11:15:00Z,MediaMarkt,completed"
"1010,9003,75.00,EUR,2026-06-02T12:00:00Z,DM,completed"
"1011,1010,8900.00,EUR,2026-06-02T13:30:00Z,Unknown,pending"
"1012,5001,12.99,EUR,2026-06-02T14:00:00Z,Netto,completed"
"1013,7882,2100.00,EUR,2026-06-03T08:00:00Z,Saturn,completed"
"1014,9003,340.00,EUR,2026-06-03T09:30:00Z,Zalando,completed"
"1015,1010,67.50,EUR,2026-06-03T10:15:00Z,Aldi,completed"
"1016,5001,5200.00,EUR,2026-06-03T11:00:00Z,Sparkasse,completed"
"1017,7882,8.99,EUR,2026-06-03T12:45:00Z,DM,completed"
"1018,9003,1120.00,EUR,2026-06-03T13:30:00Z,Amazon,completed"
"1019,1010,45000.00,EUR,2026-06-04T07:00:00Z,Unknown,flagged"
"1020,5001,23.50,EUR,2026-06-04T08:30:00Z,REWE,completed"
"1021,7882,189.90,EUR,2026-06-04T09:15:00Z,Douglas,completed"
"1022,9003,3400.00,EUR,2026-06-04T10:00:00Z,AboutYou,completed"
"1023,1010,56.80,EUR,2026-06-04T11:30:00Z,Lidl,completed"
"1024,5001,780.00,EUR,2026-06-04T12:00:00Z,Uber,completed"
"1025,7882,12500.00,EUR,2026-06-05T09:00:00Z,Booking.com,flagged"
"1026,9003,34.50,EUR,2026-06-05T10:15:00Z,Netto,completed"
"1027,1010,290.00,EUR,2026-06-05T11:00:00Z,Flixbus,completed"
"1028,5001,4300.00,EUR,2026-06-05T12:30:00Z,MediaMarkt,completed"
"1029,7882,67.30,EUR,2026-06-05T13:45:00Z,DM,completed"
"1030,9003,890.00,EUR,2026-06-05T14:00:00Z,Amazon,completed"
"1031,5001,5.99,EUR,2026-06-06T08:00:00Z,Aldi,completed"
"1032,7882,2300.00,EUR,2026-06-06T09:30:00Z,Saturn,completed"
"1033,9003,120.00,EUR,2026-06-06T10:15:00Z,Zalando,completed"
"1034,1010,45.00,EUR,2026-06-06T11:00:00Z,REWE,completed"
"1035,5001,6700.00,EUR,2026-06-06T12:45:00Z,Unknown,pending"
"1036,7882,89.99,EUR,2026-06-07T09:00:00Z,DM,completed"
"1037,9003,560.00,EUR,2026-06-07T10:30:00Z,Netto,completed"
"1038,1010,45.00,EUR,2026-06-07T11:15:00Z,Lidl,completed"
"1039,5001,1230.00,EUR,2026-06-07T12:00:00Z,Amazon,completed"
"1040,7882,28000.00,EUR,2026-06-07T13:30:00Z,Unknown,flagged"
"1041,9003,12.50,EUR,2026-06-08T08:30:00Z,Aldi,completed"
"1042,1010,340.00,EUR,2026-06-08T09:15:00Z,Flixbus,completed"
"1043,5001,890.00,EUR,2026-06-08T10:00:00Z,Douglas,completed"
"1044,7882,45.60,EUR,2026-06-08T11:30:00Z,DM,completed"
"1045,9003,2100.00,EUR,2026-06-08T12:15:00Z,Saturn,completed"
"1046,1010,78.90,EUR,2026-06-09T09:00:00Z,Netto,completed"
"1047,5001,3400.00,EUR,2026-06-09T10:00:00Z,AboutYou,completed"
"1048,7882,234.50,EUR,2026-06-09T11:30:00Z,Uber,completed"
"1049,9003,6700.00,EUR,2026-06-09T12:45:00Z,Sparkasse,completed"
"1050,1010,9500.00,EUR,2026-06-09T13:00:00Z,Unknown,pending"